time,userAtdomain,computer,processname,start_end
1,C1$@DOM1,C1,P16,Start
1,C1001$@DOM1,C1001,P4,Start
1,C1002$@DOM1,C1002,P4,Start
1,C1004$@DOM1,C1004,P4,Start
1,C1017$@DOM1,C1017,P4,Start
1,C1018$@DOM1,C1018,P4,Start
1,C1020$@DOM1,C1020,P3,Start
1,C1020$@DOM1,C1020,P4,Start
1,C1028$@DOM1,C1028,P16,End
1,C1029$@DOM1,C1029,P4,Start
1,C1030$@DOM1,C1030,P4,Start
1,C1032$@DOM1,C1032,P4,Start
1,C1035$@DOM1,C1035,P37,Start
1,C1035$@DOM1,C1035,P5,Start
1,C1051$@DOM1,C1051,P16,Start
1,C1069$@DOM1,C1069,P3,Start
1,C1069$@DOM1,C1069,P4,Start
1,C1079$@DOM1,C1079,P4,Start
1,C1084$@DOM1,C1084,P4,Start
1,C1088$@DOM1,C1088,P4,Start
1,C1104$@DOM1,C1104,P4,Start
1,C1130$@DOM1,C1130,P4,Start
1,C1136$@DOM1,C1136,P4,Start
1,C1136$@DOM1,C1136,P8,Start
1,C1136$@DOM1,C1136,P96,Start
1,C1138$@DOM1,C1138,P4,Start
1,C1145$@DOM1,C1145,P5,Start
1,C1145$@DOM1,C1145,P7,Start
1,C1145$@DOM1,C1145,P8,Start
1,C1151$@DOM1,C1151,P3,Start
1,C1151$@DOM1,C1151,P4,Start
1,C1154$@DOM1,C1154,P3,Start
1,C1154$@DOM1,C1154,P4,Start
1,C1158$@DOM1,C1158,P4,Start
1,C116$@DOM1,C116,P4,Start
1,C1168$@DOM1,C1168,P4,Start
1,C1170$@DOM1,C1170,P4,Start
1,C1172$@DOM1,C1172,P8,Start
1,C1179$@DOM1,C1179,P4,Start
1,C1181$@DOM1,C1181,P4,Start
1,C1182$@DOM1,C1182,P11,Start
1,C1182$@DOM1,C1182,P5,Start
1,C1185$@DOM1,C1185,P5,Start
1,C1185$@DOM1,C1185,P7,Start
1,C1185$@DOM1,C1185,P8,Start
1,C119$@DOM1,C119,P4,Start
1,C1196$@DOM1,C1196,P4,Start
1,C1197$@DOM1,C1197,P4,Start
1,C1197$@DOM1,C1197,P8,Start
1,C1197$@DOM1,C1197,P96,Start
1,C1207$@DOM1,C1207,P8,Start
1,C1208$@DOM1,C1208,P4,Start
1,C1218$@DOM1,C1218,P4,Start
1,C1220$@DOM1,C1220,P4,Start
1,C1223$@DOM1,C1223,P4,Start
1,C1233$@DOM1,C1233,P4,Start
1,C1241$@DOM1,C1241,P3,Start
1,C1241$@DOM1,C1241,P4,Start
1,C1242$@DOM1,C1242,P4,Start
1,C1248$@DOM1,C1248,P4,Start
1,C125$@DOM1,C125,P4,Start
